entity,from_state,event,to_state,writer,transactional,room_access,materials_access,recording_effect,evidence_file,evidence_function
Session.negotiationState,PREPARATION,START_PREPARATION,PREPARATION_RUNNING,POST /api/sessions/[sessionId]/control,no,allowed,allowed,no direct change,app/api/sessions/[sessionId]/control/route.ts,getControlUpdateData
Session.negotiationState,PREPARATION_RUNNING,PAUSE_PREPARATION,PREPARATION_PAUSED,POST /api/sessions/[sessionId]/control,no,allowed,allowed,no direct change,app/api/sessions/[sessionId]/control/route.ts,getControlUpdateData
Session.negotiationState,PREPARATION_PAUSED,RESUME_PREPARATION,PREPARATION_RUNNING,POST /api/sessions/[sessionId]/control,no,allowed,allowed,no direct change,app/api/sessions/[sessionId]/control/route.ts,getControlUpdateData
Session.negotiationState,PREPARATION_* or READY_TO_START,START,RUNNING,POST /api/sessions/[sessionId]/control,no,allowed,allowed,start request path depends on provider,app/api/sessions/[sessionId]/control/route.ts,POST
Session.negotiationState,RUNNING,PAUSE,PAUSED,POST /api/sessions/[sessionId]/control,no,allowed,allowed,pause intervals updated no stop,app/api/sessions/[sessionId]/control/route.ts,syncPauseIntervals
Session.negotiationState,PAUSED,RESUME,RUNNING,POST /api/sessions/[sessionId]/control,no,allowed,allowed,pause intervals updated no start,app/api/sessions/[sessionId]/control/route.ts,syncPauseIntervals
Session.negotiationState,RUNNING or PAUSED,FINISH,FINISHED,POST /api/sessions/[sessionId]/control,no,blocked by active-room guard helper,allowed,LiveKit stop server-side; Vox stop delegated to client relay,app/api/sessions/[sessionId]/control/route.ts,POST
Session.negotiationState,not FINISHED,timer auto-finish,FINISHED,GET /api/sessions/[sessionId]/control-state,no,blocked by active-room guard helper,allowed,calls handleNegotiationFinishRecording in control-state path,app/api/sessions/[sessionId]/control-state/route.ts,GET
Session.negotiationState,active,event completion,FINISHED,completeTrainingEvent transaction (event + sessions),yes,blocked by active-room guard helper,allowed,event completion then recording-stop attempts per session,lib/complete-event.ts,completeTrainingEvent
Session.closeReason,NULL,event completion,EVENT_COMPLETED,completeTrainingEvent transaction,yes,blocked by active-room guard helper,allowed,indirect via stopSessionRecordingIfActive,lib/complete-event.ts,buildSessionCloseUpdate
Session.closedByEventAt,NULL,event completion,timestamp,completeTrainingEvent transaction,yes,blocked by active-room guard helper,allowed,indirect via stopSessionRecordingIfActive,lib/complete-event.ts,buildSessionCloseUpdate
Derived.SessionCloseState,open,negotiation FINISH,closed(debrief key),buildSessionCloseState,no,debrief mode in-room for connected clients,allowed,none,lib/session-close-state.ts,buildSessionCloseState
Derived.SessionCloseState,open,event completed,closed(event key),buildSessionCloseState,no,overlay; room logically closed,allowed,none,lib/session-close-state.ts,buildSessionCloseState
Recording.status,none,start relay/start egress,STARTING or RECORDING,recording-control/livekit,no,n/a,allowed,start initiated,app/api/sessions/[sessionId]/recording-control/route.ts,POST
Recording.status,RECORDING,stop requested,STOPPED or PROCESSING,recording-control/livekit,no,n/a,allowed,stop requested,app/api/sessions/[sessionId]/recording-control/route.ts,handleVoximplantRecording|stopRecording
Recording.status,STOPPED,webhook with fileKey,COMPLETED,voximplant webhook,no,n/a,allowed,finalized and transcript can proceed,app/api/sessions/[sessionId]/voximplant/recording-status/route.ts,mapVoximplantStatusToDb
SessionParticipant.lastSeenAt,any,heartbeat,same row with newer timestamp,POST /api/sessions/[sessionId]/heartbeat,no,n/a,n/a,no direct recording effect,app/api/sessions/[sessionId]/heartbeat/route.ts,POST
Target.RoomLifecycle,OPEN,session FINISH with active relevant durable connections,DEBRIEF_OPEN,canonical Session completion service,required (target),room allowed,allowed,recording stop orchestrated idempotently,implementation target,Session completion orchestration
Target.RoomLifecycle,OPEN,session FINISH with zero relevant durable connections,CLOSED,canonical Session completion service,required (target),room denied,allowed,recording stop orchestrated idempotently,implementation target,Session completion orchestration
Target.RoomLifecycle,DEBRIEF_OPEN,explicit leave or expiry yields zero active relevant connections,CLOSED,connection leave/expiry worker + atomic occupancy check,required (target),room denied,allowed,no recording change implied by expiry,implementation target,Atomic CAS or transaction
Target.RoomLifecycle,CLOSED,reconnect attempt,stays CLOSED,room guard,required (target),room denied,allowed,no recording change,implementation target,Closed terminal policy
Target.TrainingEvent,status != COMPLETED,complete Event request,COMPLETED,canonical Event completion operation,required (target),event lobby denied after completion,allowed,linked active/paused recordings enter idempotent stop orchestration,implementation target,Event completion service
