message_key,ru_text,en_text,component,render_condition,mapping_state,scope,shown_after_manual_confirmation,accurate,duplicate_of,potentially_misleading,notes
recording.speakerMapping,Сопоставление говорящих,Speaker mapping,recording-transcription-section,section visible,any,global,yes,true,,false,section header
recording.detectedSpeakers,Обнаруженные говорящие,Detected speakers,recording-transcription-section,mapping panel rendered,REQUIRED/NEEDS_REVIEW/PARTIAL,global,no,true,,false,
recording.unassigned,Не назначено,Unassigned,recording-transcription-section,speaker label has no selected participant,REQUIRED/NEEDS_REVIEW/PARTIAL,label,no,true,,false,
recording.speakerMappingRequired,Требуется сопоставление говорящих,Speaker mapping required,materials status + section,mapping readiness false,REQUIRED/NEEDS_REVIEW,global,no,true,,false,
recording.confirmSpeakerMappingBeforeAi,Подтвердите сопоставление говорящих перед AI-разбором.,Confirm speaker mapping before AI analysis.,status-driven actions,AI run blocked by mapping readiness,REQUIRED/NEEDS_REVIEW/PARTIAL,global,no,true,,false,
recording.speakerMappingRequiredBeforeAi,Перед AI-разбором нужно сопоставить говорящих.,Speaker mapping is required before AI analysis.,status-driven actions,AI run blocked by mapping readiness,REQUIRED/NEEDS_REVIEW/PARTIAL,global,no,true,recording.confirmSpeakerMappingBeforeAi,true,near-duplicate wording
recording.suggestAutomatically,Предложить автоматически,Suggest automatically,speaker-mapping-panel/button,editable mapping panel open,non-confirmed,global,no,true,room.suggestAutomatically,false,
recording.autoMappingRequiresTimestamps,Автоматическое сопоставление требует таймкодов транскрипта.,Automatic mapping requires transcript timestamps.,mapping panel/suggest unavailable,no timestamp suggestion unavailable,REQUIRED,global,no,true,room.autoMappingUnavailable,false,
recording.autoMappingFutureSessionsOnly,Автоматическое сопоставление будет доступно для будущих сессий после сбора данных активности микрофона.,Automatic mapping will be available for future sessions after microphone activity data is collected.,speaker-mapping-panel,suggestion unavailable fallback,REQUIRED,global,no,partial,,true,message can hide specific diagnostics reason
recording.telemetryMappingReviewRequired,Автосопоставление не выполнено: телеметрия активности микрофона неполная по одному из участников. Назначьте говорящих вручную.,Automatic mapping was skipped because microphone activity telemetry is incomplete for one of the participants. Please assign speakers manually.,review card/warnings,telemetry quality issue,NEEDS_REVIEW,global,no,true,,false,
