scenarioId,surface,journey,role,eventLifecycle,sessionLifecycle,sessionCount,negotiatorCount,observerCount,cameraState,microphoneState,assignmentState,materialsState,recordingStopState,language,viewport,browser,dataDensity,expectedPrimaryAction,screenshotExpected,automated,limitations,result,findingIds
UIAUD-DASH-001,dashboard,participant,participant,LOBBY_OPEN,OPEN,0,0,0,n/a,n/a,none,none,none,ru,1440x900,chromium,empty,Create or join next item,yes,planned,No zero-data screenshot captured in focused run,NOT_RUN,
UIAUD-DASH-002,dashboard,participant,participant,LOBBY_OPEN,OPEN,1,2,0,mixed,mixed,assigned,none,none,ru,1440x900,chromium,low,Open lobby or room,yes,planned,Pairwise only,NOT_RUN,
UIAUD-DASH-020,dashboard,owner,event-owner,mixed,mixed,6,8,20,mixed,mixed,mixed,mixed,mixed,ru,1440x900,chromium,20 mixed items,Continue next negotiation,yes,yes,Captured in focused audit run,OBSERVED,UI-F001 UI-F002 UI-F010
UIAUD-DASH-050,dashboard,owner,event-owner,mixed,mixed,10,8,50,mixed,mixed,mixed,mixed,mixed,en,1440x900,chromium,50 mixed items,Continue next negotiation,yes,planned,Documented as extension of 20-item run,PARTIAL,UI-F001 UI-F010
UIAUD-FILTER-001,events-list,list-filtering,event-owner,mixed,n/a,6,0,50,n/a,n/a,mixed,n/a,n/a,ru,1440x900,chromium,dense,Open active event,yes,yes,Captured,OBSERVED,UI-F003
UIAUD-FILTER-002,sessions-list,list-filtering,facilitator,mixed,mixed,6,8,20,mixed,mixed,mixed,mixed,mixed,ru,1440x900,chromium,dense,Open room or materials,yes,yes,Captured,OBSERVED,UI-F003 UI-F006
UIAUD-FILTER-003,cases-list,list-filtering,facilitator,n/a,n/a,0,0,0,n/a,n/a,n/a,n/a,n/a,ru,1440x900,chromium,dense,View case,yes,yes,Captured,OBSERVED,UI-F003
UIAUD-LOBBY-001,event-lobby,participant,participant,LOBBY_OPEN,OPEN,1,2,0,mixed,mixed,assigned,none,none,ru,1440x900,chromium,low,Enter assigned room,yes,planned,Pairwise only,NOT_RUN,
UIAUD-LOBBY-008,event-lobby,owner,event-owner,LOBBY_OPEN,mixed,8,8,8,mixed,mixed,mixed,mixed,none,ru,1440x900,chromium,medium,Create or enter session,yes,planned,Covered by 50-person stress run,PARTIAL,UI-F004 UI-F005
UIAUD-LOBBY-050,event-lobby,owner,event-owner,LOBBY_OPEN,mixed,4,8,42,mixed,mixed,mixed,mixed,mixed,ru,1440x900,chromium,50 people,Enter current room,yes,yes,Captured,OBSERVED,UI-F004 UI-F005 UI-F006 UI-F007 UI-F008
UIAUD-LOBBY-100,event-lobby,owner,event-owner,LOBBY_OPEN,mixed,12,8,92,mixed,mixed,mixed,mixed,mixed,ru,1440x900,chromium,100 people,Enter current room,yes,planned,Not captured; fixture supports seeding without 100 browsers,NOT_RUN,UI-F008
UIAUD-LOBBY-MOB-001,event-lobby,owner,event-owner,LOBBY_OPEN,mixed,4,8,42,mixed,mixed,mixed,mixed,mixed,ru,390x844,chromium,50 people mobile,Enter current room,yes,yes,Captured,OBSERVED,UI-F004 UI-F005 UI-F009
UIAUD-SCALE-002,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,2,0,mixed,mixed,assigned,none,none,en,1440x900,chromium,2 negotiators,Start preparation,yes,planned,Baseline source-supported,NOT_RUN,
UIAUD-SCALE-003,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,3,0,mixed,mixed,assigned,none,none,en,1440x900,chromium,3 negotiators,Start preparation,yes,source,Source shows two-slot limit,PARTIAL,UI-F011
UIAUD-SCALE-004,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,4,4,mixed,mixed,assigned,none,none,en,1440x900,chromium,4 negotiators,Start preparation,yes,source,Source shows two-slot limit,PARTIAL,UI-F011 UI-F012
UIAUD-SCALE-005,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,5,8,mixed,mixed,assigned,none,none,en,1440x900,chromium,5 negotiators,Start preparation,yes,source,Source shows two-slot limit,PARTIAL,UI-F011 UI-F012
UIAUD-SCALE-006,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,6,12,mixed,mixed,assigned,none,none,en,1440x900,chromium,6 negotiators,Start preparation,yes,source,Source shows two-slot limit,PARTIAL,UI-F011 UI-F012
UIAUD-SCALE-007,negotiation-room,participant,participant,LOBBY_OPEN,OPEN,1,7,20,mixed,mixed,assigned,none,none,en,1440x900,chromium,7 negotiators,Start preparation,yes,source,Source shows two-slot limit,PARTIAL,UI-F011 UI-F012
UIAUD-SCALE-008,negotiation-room,facilitator,facilitator,LOBBY_OPEN,OPEN,1,8,20,mixed,mixed,assigned,none,none,en,1440x900,chromium,8 negotiators 20 observers,Manage room,yes,yes,Captured plus source audit,OBSERVED,UI-F011 UI-F012 UI-F013 UI-F016
UIAUD-OBS-000,negotiation-room,observer,observer,LOBBY_OPEN,OPEN,1,2,0,n/a,n/a,observer,none,none,en,1440x900,chromium,0 observers,Observe room,yes,planned,Pairwise only,NOT_RUN,
UIAUD-OBS-001,negotiation-room,observer,observer,LOBBY_OPEN,OPEN,1,2,1,mixed,mixed,observer,none,none,en,1440x900,chromium,1 observer,Observe room,yes,planned,Pairwise only,NOT_RUN,
UIAUD-OBS-004,negotiation-room,observer,observer,LOBBY_OPEN,OPEN,1,4,4,mixed,mixed,observer,none,none,en,1440x900,chromium,4 observers,Observe room,yes,planned,Covered by debrief/materials run,PARTIAL,UI-F012
UIAUD-OBS-008,negotiation-room,observer,observer,LOBBY_OPEN,OPEN,1,4,8,mixed,mixed,observer,none,none,en,1440x900,chromium,8 observers,Observe room,yes,planned,Pairwise only,NOT_RUN,UI-F012
UIAUD-OBS-012,negotiation-room,observer,observer,LOBBY_OPEN,OPEN,1,6,12,mixed,mixed,observer,none,none,en,1440x900,chromium,12 observers,Observe room,yes,source,Source row wraps,PARTIAL,UI-F012 UI-F013
