condition,telemetry_state,candidate_state,confidence_state,margin_state,result_status,auto_apply,persists_mapping,requires_manual_review,user_message_key,evidence_file,evidence_function
no_audio_activity,no rows for selected source,no candidate,none,none,REQUIRED,false,false,true,recording.mappingFailureReason.unavailableNoAudioActivity,lib/transcription/auto-speaker-mapping.ts,buildUnavailableSuggestion
speaker_count_mismatch_review_required,present,labels exceed participant pool,any,any,REQUIRED,false,false,true,recording.mappingFailureReason.unknownMappingFailure,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
partial_mapping_review_required,present,not all labels covered,any,any,REQUIRED,false,false,true,recording.mappingFailureReason.unknownMappingFailure,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
many_to_one_mapping_in_multi_participant_session,present,candidate collapses labels to same participant,any,any,NEEDS_REVIEW,false,false,true,recording.mappingFailureReason.manyToOne,lib/transcription/mapping-safety.ts,evaluateMappingSafety
telemetry_coverage_review_required,incomplete participant coverage,candidate may exist,high or low,any,NEEDS_REVIEW,false,false,true,recording.mappingFailureReason.lowCoverage,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
telemetry_offsets_review_required,offsets missing/unreliable,candidate may exist,high or low,any,NEEDS_REVIEW,false,false,true,recording.mappingFailureReason.missingOffsets,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
telemetry_quality_review_required,blocking warnings present,candidate exists,high or low,any,NEEDS_REVIEW,false,false,true,recording.mappingFailureReason.telemetryImbalanced,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
low_margin_review_required,usable telemetry,candidate exists,high,false-positive weak margin,REQUIRED,false,false,true,recording.mappingFailureReason.lowMargin,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
low_confidence_review_required,usable telemetry,candidate exists,below high threshold,non-weak,REQUIRED,false,false,true,recording.mappingFailureReason.unknownMappingFailure,lib/transcription/mapping-decision.ts,decideAutoMappingApplication
high_confidence_prefilled,usable telemetry and safety,all labels covered,high,acceptable or globally overridden,AUTO_SUGGESTED,true,true,false,recording.speakerMappingAutoAppliedCompact,lib/transcription/auto-trigger-mapping.ts,autoTriggerSpeakerMappingAfterTranscription
