route,authentication_source,session_lookup,session_participant_lookup,accepted_roles,revoked_or_removed_membership,deleted_user_handling,event_membership_handling,canonical_lifecycle_guard_invocation,provider_credentials_issuable,durable_connection_create_or_renew,notes
/room/[sessionId],cookie auth via getOptionalCurrentUser/requireActiveUser,Session via ensureAccountRoomParticipant + participant.session,ensureAccountRoomParticipant server-side ownership or join-token claim then user-bound participant,FACILITATOR|PARTICIPANT|OBSERVER by DB row,no participant row => deny/notFound,non-ACTIVE blocked except admin,event status read from linked session.event,decideSessionRoomAccess before rendering room component,no provider credential issued here,n/a,server redirect used for closed/event-completed outcomes
/events/[id]/lobby,cookie optional + token query for legacy token access,TrainingEvent by id,event participant resolved inside EventLobbyView APIs,host/participant/observer per lobby membership,completed event bypasses interactive lobby,unauthenticated users redirected to login when no token,event status authoritative for completed hard guard,guard at route level before lobby UI serialization,no provider credential on completed event lobby path,n/a,completed event currently redirects away from interactive lobby
/api/livekit/token,cookie auth required in all paths (joinToken or participantId payload),participant.session loaded with lifecycle+event via Prisma,SessionParticipant by joinToken or participantId then ownership check,FACILITATOR|PARTICIPANT|OBSERVER if authenticated owner/member,row bound to another user => 403; stale connection denied,non-ACTIVE blocked except admin,event status from participant.session.event,decideSessionRoomAccess before token creation,only when decision is ALLOW_ACTIVE_ROOM/ALLOW_DEBRIEF,claim/validate lease before token response,token issuance is server-side after guard+lease
/api/livekit/sidebar,cookie auth required in all paths,session fetched in enforceRoomAccess,SessionParticipant by joinToken or participantId then ownership check,FACILITATOR|PARTICIPANT|OBSERVER,row bound to another user => 403; stale connection denied,non-ACTIVE blocked except admin,event status from session.event in enforceRoomAccess,decideSessionRoomAccess in enforceRoomAccess before sidebar payload,no provider credential here,optional claim/validate lease enforced before sidebar payload,no unverified client role accepted
/api/sessions/[sessionId]/control-state,resolver requires authenticated owner/member,participant.session from resolver include,resolveRoomParticipantFromQuery by joinToken/participantId,FACILITATOR|PARTICIPANT|OBSERVER,missing or mismatched participant => 404/403,non-ACTIVE denied in resolver,event status via participant.session.event,decideSessionRoomAccess before state payload,no provider credential here,claim/validate lease on bootstrap poll when connectionId present,returns deterministic ROOM_CLOSED or EVENT_CLOSED metadata
/api/sessions/[sessionId]/control,resolver requires authenticated owner/member,participant.session from resolver include,resolveRoomParticipantFromBody,FACILITATOR for mutating controls only; others rejected 403,membership mismatch => 404/403,non-ACTIVE denied in resolver,event status via participant.session.event,decideSessionRoomAccess before control action,no provider credential here,lease must be current for connection-scoped calls,ALLOW_DEBRIEF only permits FINISH; no participant/observer FINISH
/api/sessions/[sessionId]/heartbeat,resolver requires authenticated owner/member,participant.session from resolver include,resolveRoomParticipantFromBody,FACILITATOR|PARTICIPANT|OBSERVER with valid membership,membership mismatch => 403; stale blocked,non-ACTIVE denied in resolver,event status via participant.session.event,decideSessionRoomAccess before renew/touch,no provider credential here,claim on first heartbeat then touch only for active lease,closed/event-closed cannot renew
/api/sessions/[sessionId]/media-status,resolver requires authenticated owner/member,participant.session from resolver include,resolveRoomParticipantFromBody,FACILITATOR|PARTICIPANT|OBSERVER,membership mismatch => 403; stale blocked,non-ACTIVE denied in resolver,event status via participant.session.event,decideSessionRoomAccess before media status write,no provider credential here,claim/validate lease required when connectionId provided,media publish denied after close
/api/sessions/[sessionId]/recording-control,resolver requires authenticated owner/member,participant.session from resolver include,resolveRoomParticipantFromBody,FACILITATOR for start/stop/refresh; FACILITATOR|PARTICIPANT|OBSERVER for authorized relay_stop,membership mismatch => 403; relay cross-session/op mismatch denied,non-ACTIVE denied in resolver,event status via participant.session.event,decideSessionRoomAccess before any provider/relay action,yes only after lifecycle+role+relay authorization,lease must be current before action processing,ALLOW_DEBRIEF only allows refresh and relay convergence operations
/api/sessions/[sessionId]/voximplant/access,apiRequireActiveUser + access-control visibility + ensured account participant,participantSession.session loaded with lifecycle+event,ensureAccountRoomParticipant + participant.userId ownership,FACILITATOR|PARTICIPANT|OBSERVER mapped from DB participant type,membership mismatch or non-owner => 403,deleted/disabled/pending users denied by guard,event status via participantSession.session.event,decideSessionRoomAccess before Vox credentials payload,yes only after guard and lease success,claim/validate lease before issuing credentials/one-time-key contract,no unverified client role is trusted for canonical guard
/api/sessions/[sessionId]/presence/leave,resolver requires authenticated owner/member,participant.session via resolver,resolveRoomParticipantFromBody,FACILITATOR|PARTICIPANT|OBSERVER for explicit disconnect,membership mismatch => 403,non-ACTIVE denied in resolver,event status indirectly via lease disconnect path,room-access decision not required (explicit disconnect operation),no provider credential here,disconnectSessionRoomConnectionLease only for owned active connection,operation is idempotent and cannot claim new lease
stop-relay helpers (lib/session-recording-stop-relay.ts),called only from guarded recording-control route,session and stop operation loaded by sessionId+operationId,participant id/type supplied from authenticated resolver,FACILITATOR|PARTICIPANT|OBSERVER relay-eligible only,cross-session or missing operation => null/deny,not applicable (server-side helper),event status checked via session.event,relay window and eligibility checked before claim/report,no provider credential generated in helper,updates existing SessionRecordingStopOperation only; never creates new stop intent,participant/observer can transport authorized stop only
